LA (name),Rank,# of Outstanding Schools,Total Schools,Percentage
Kensington and Chelsea,1,32,56,57%
Richmond upon Thames,2,32,68,47%
Harrow,3,28,66,42%
Hammersmith and Fulham,4,30,75,40%
Pre-LGR 2019 Bournemouth,4,2,5,40%
Lambeth,4,38,96,40%
Trafford,5,39,100,39%
Wandsworth,6,38,102,37%
Redbridge,7,31,86,36%
Pre-LGR 2019 Dorset,7,14,39,36%
Westminster,8,24,69,35%
Kingston upon Thames,9,21,61,34%
Tower Hamlets,10,39,118,33%
Sutton,11,24,75,32%
Windsor and Maidenhead,11,24,75,32%
Rutland,11,8,25,32%
Barnet,11,50,157,32%
South Tyneside,12,21,67,31%
Southwark,12,36,116,31%
Camden,12,24,78,31%
Newham,12,36,118,31%
Gateshead,13,28,93,30%
Slough,13,18,60,30%
Islington,13,22,74,30%
Hounslow,14,24,82,29%
Surrey,15,126,456,28%
Solihull,15,24,87,28%
Hackney,15,30,109,28%
Brent,16,26,98,27%
St. Helens,17,20,76,26%
Pre-LGR 2019 Poole,17,5,19,26%
Reading,18,16,63,25%
Merton,18,17,67,25%
Bromley,18,32,127,25%
Ealing,18,27,109,25%
Warrington,18,23,93,25%
Wigan,19,36,147,24%
Lewisham,19,22,91,24%
Haringey,19,24,100,24%
Liverpool,19,44,184,24%
Central Bedfordshire,19,32,134,24%
Hertfordshire,19,133,558,24%
Stockport,19,30,126,24%
Milton Keynes,20,28,120,23%
Wirral,20,30,130,23%
Buckinghamshire,20,58,253,23%
Hampshire,20,127,563,23%
Wokingham,20,16,71,23%
Bolton,21,35,156,22%
Newcastle upon Tyne,21,26,116,22%
Cheshire West and Chester,21,38,170,22%
Manchester,21,45,203,22%
Lancashire,21,151,686,22%
Croydon,21,31,141,22%
York,21,16,73,22%
"Herefordshire, County of",22,23,108,21%
Greenwich,22,22,104,21%
Hillingdon,22,23,109,21%
North Tyneside,22,17,82,21%
Enfield,22,23,111,21%
Cheshire East,22,37,179,21%
"Bristol, City of",22,34,165,21%
Redcar and Cleveland,22,14,68,21%
Birmingham,23,108,528,20%
Darlington,23,11,54,20%
Southampton,23,17,84,20%
Waltham Forest,23,18,89,20%
Halton,23,14,70,20%
Stockton-on-Tees,23,17,85,20%
"Bournemouth, Christchurch and Poole",23,18,90,20%
Walsall,23,26,131,20%
Telford and Wrekin,23,16,81,20%
Barnsley,24,20,103,19%
Sandwell,24,24,125,19%
County Durham,24,54,284,19%
Bath and North East Somerset,24,17,90,19%
Kent,24,122,659,19%
"Kingston upon Hull, City of",25,20,109,18%
Gloucestershire,25,58,319,18%
Calderdale,25,20,112,18%
Oldham,25,21,120,18%
Southend-on-Sea,26,11,63,17%
Bracknell Forest,26,7,41,17%
Bedford,26,14,84,17%
North Somerset,27,15,91,16%
North East Lincolnshire,27,12,73,16%
Blackburn with Darwen,27,14,86,16%
Warwickshire,27,43,267,16%
Leicestershire,27,52,323,16%
Leeds,27,48,301,16%
Lincolnshire,27,62,393,16%
Wolverhampton,27,20,127,16%
Rochdale,27,15,96,16%
Derby,27,17,109,16%
Worcestershire,27,43,277,16%
Thurrock,27,9,58,16%
Essex,28,94,607,15%
Bexley,28,14,91,15%
Kirklees,28,31,203,15%
Wakefield,28,25,164,15%
Sheffield,28,31,206,15%
Nottingham,28,18,120,15%
Blackpool,28,7,47,15%
Brighton and Hove,28,12,81,15%
Leicester,28,20,135,15%
Northumberland,28,25,171,15%
Northamptonshire,28,51,350,15%
North Yorkshire,28,57,393,15%
Sefton,29,16,111,14%
Salford,29,18,125,14%
Bradford,29,38,264,14%
Hartlepool,29,6,42,14%
Nottinghamshire,29,53,375,14%
Rotherham,29,20,144,14%
Luton,29,11,81,14%
Sunderland,29,18,133,14%
Oxfordshire,30,44,328,13%
Devon,30,56,419,13%
Bury,30,12,90,13%
West Berkshire,30,12,90,13%
East Sussex,30,29,220,13%
Stoke-on-Trent,30,15,114,13%
Havering,30,13,99,13%
Somerset,30,39,298,13%
Torbay,30,6,46,13%
North Lincolnshire,30,11,85,13%
Middlesbrough,30,9,72,13%
Medway,30,15,120,13%
Staffordshire,31,58,471,12%
Suffolk,31,46,380,12%
Cambridgeshire,31,36,298,12%
Cornwall,31,40,332,12%
Dorset,31,17,145,12%
Cumbria,31,40,343,12%
Norfolk,31,57,489,12%
West Sussex,32,35,310,11%
East Riding of Yorkshire,32,18,160,11%
Shropshire,32,20,183,11%
Derbyshire,32,49,453,11%
Doncaster,32,16,149,11%
Plymouth,32,13,122,11%
Wiltshire,33,27,261,10%
Barking and Dagenham,33,7,68,10%
Knowsley,33,7,68,10%
Coventry,33,13,130,10%
Tameside,33,11,114,10%
Dudley,33,12,126,10%
Portsmouth,34,7,75,9%
South Gloucestershire,34,11,119,9%
Swindon,34,8,93,9%
Peterborough,35,6,84,7%
Isles Of Scilly,36,0,1,0%
Isle of Wight,36,0,53,0%
